row_key	Atlas	dataset_title	pmid	doi	portal_url	citation	paper_figures
stds0000066|GSM4459976_33A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459977_33B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459978_34A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459979_34B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459980_35A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459981_35B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459982_36A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459983_36B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459984_37A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459985_37B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
